院校名称,年份,省份,科类,批次,最低分,最低位次,平均分,招生人数,院校代码
宝鸡文理学院,2024,陕西,文科,本科提前批C段,506,9860,,63,宝鸡文理学院
山西大学,2024,陕西,文科,本科一批,505,9884,,37,山西大学
首都经济贸易大学,2024,陕西,文科,本科一批,505,9905,,4,首都经济贸易大学
深圳大学,2024,陕西,理科,本科一批,596,9964,,42,44004
北师香港浸会大学,2024,陕西,文科,本科一批,505,10056,,13,北师香港浸会大学
延安大学,2024,陕西,文科,本科一批,505,10075,,483,延安大学
西华大学,2024,陕西,文科,本科一批,504,10121,,18,西华大学
东华大学,2024,陕西,文科,本科一批,504,10144,,5,东华大学
西安理工大学,2024,陕西,文科,本科一批,504,10165,,193,西安理工大学
天津外国语大学,2024,陕西,文科,本科一批,504,10234,,19,天津外国语大学
浙江农林大学,2024,陕西,文科,本科一批,504,10246,,6,浙江农林大学
西南交通大学,2024,陕西,理科,本科一批,594,10255,,140,西南交通大学
哈尔滨工程大学,2024,陕西,理科,本科一批,594,10301,,5,哈尔滨工程大学
渭南师范学院,2024,陕西,文科,本科提前批C段,504,10322,,35,渭南师范学院
华东交通大学,2024,陕西,文科,本科一批,503,10328,,10,华东交通大学
北京邮电大学,2024,陕西,理科,本科一批,594,10396,,8,北京邮电大学
宁波大学,2024,陕西,文科,本科一批,503,10464,,7,宁波大学
宁夏大学,2024,陕西,文科,本科一批,502,10548,,3,宁夏大学
重庆交通大学,2024,陕西,文科,本科一批,502,10554,,19,重庆交通大学
河北师范大学,2024,陕西,文科,本科一批,502,10579,,14,河北师范大学
东北大学秦皇岛分校,2024,陕西,理科,本科一批,593,10583,,11,东北大学秦皇岛分校
浙江财经大学,2024,陕西,文科,本科二批,502,10684,,6,浙江财经大学
北京印刷学院,2024,陕西,文科,本科一批,502,10694,,10,北京印刷学院
中国医科大学,2024,陕西,理科,本科一批,593,10703,,,中国医科大学
南华大学,2024,陕西,文科,本科一批,502,10703,,2,南华大学
重庆中医药学院,2024,陕西,文科,本科二批,502,10726,,4,重庆中医药学院
安徽财经大学,2024,陕西,文科,本科一批,501,10852,,27,安徽财经大学
天津师范大学,2024,陕西,文科,本科一批,501,10855,,27,天津师范大学
西南财经大学,2024,陕西,理科,本科一批,592,10904,,35,50003
西南政法大学,2024,陕西,文科,本科提前批A段,501,11001,,,西南政法大学
南京邮电大学,2024,陕西,理科,本科一批,474,11015,,16,南京邮电大学
青岛科技大学,2024,陕西,文科,本科一批,500,11046,,15,青岛科技大学
大连理工大学,2024,陕西,理科,本科一批,591,11078,,27,大连理工大学
安徽中医药大学,2024,陕西,文科,本科二批,500,11081,,4,安徽中医药大学
温州肯恩大学,2024,陕西,文科,本科一批,500,11089,,7,温州肯恩大学
西安工业大学,2024,陕西,文科,本科一批,500,11090,,6,西安工业大学
福建农林大学,2024,陕西,文科,本科一批,500,11097,,3,福建农林大学
